Date,Tweet_Count,Avg_Sentiment,Positive_Count,Negative_Count,Neutral_Count
2021-11-05,5,0.3996031045913696,2,0,3
2021-11-06,1,0.0,0,0,1
2021-11-08,4,-0.20994088053703308,0,1,3
2021-11-09,4,0.24990829825401306,1,0,3
2021-11-10,4,-0.24918057024478915,1,2,1
2021-11-11,4,0.0,0,0,4
2021-11-12,4,0.2499098777770996,1,0,3
2021-11-14,1,0.999618411064148,1,0,0
2021-11-15,4,0.2498767077922821,1,0,3
2021-11-16,4,0.2499091029167175,1,0,3
2021-11-17,4,0.24990014731884,1,0,3
2021-11-18,4,0.2498749792575836,1,0,3
2021-11-19,4,-0.4964979588985443,0,2,2
2021-11-20,1,0.0,0,0,1
2021-11-22,4,0.2496708780527115,1,0,3
2021-11-23,4,-0.2461833506822586,0,1,3
2021-11-24,3,-0.0023899078369140625,1,1,1
2021-11-25,4,0.19540008902549744,1,0,3
2021-11-26,4,-0.2489383816719055,0,1,3
2021-11-29,4,-0.2496888339519501,0,1,3
2021-11-30,4,0.4756357967853546,2,0,2
2021-12-09,4,0.4908636510372162,2,0,2
2021-12-10,4,0.7462381571531296,3,0,1
2021-12-11,1,0.0,0,0,1
2021-12-13,4,-0.2484401315450668,0,1,3
2021-12-14,4,0.06578150391578677,1,1,2
2021-12-15,4,0.4995785355567932,2,0,2
2021-12-16,4,0.7479280233383179,3,0,1
2021-12-17,4,-0.24837470054626465,0,1,3
2021-12-18,2,0.0,0,0,2
2021-12-20,1,0.0,0,0,1
2021-12-21,1,0.0,0,0,1
2021-12-22,1,0.0,0,0,1
2021-12-23,2,-0.4961441159248352,0,1,1
2021-12-24,6,0.6662902235984802,4,0,2
2021-12-25,1,0.0,0,0,1
2021-12-27,4,0.2498825192451477,1,0,3
2021-12-28,4,-0.7484204471111298,0,3,1
2021-12-29,3,-0.33259338140487665,0,1,2
2021-12-30,4,0.0004419088363646906,1,1,2
2021-12-31,4,-0.18634282052516934,1,2,1
2022-01-01,1,0.0,0,0,1
2022-01-03,5,-7.224082946799548e-06,1,1,3
2022-01-04,4,0.0005545914173126498,1,1,2
2022-01-05,4,0.7490683943033218,3,0,1
2022-01-06,9,-0.06750327348709104,2,3,4
2022-01-07,7,-0.14239359753472466,1,2,4
2022-01-08,1,0.0,0,0,1
2022-01-10,6,-0.14727399746576944,1,2,3
2022-01-11,5,0.5991920113563538,3,0,2
2022-01-12,6,0.49963049093882245,3,0,3
2022-01-13,7,0.5718902179173061,5,1,1
2022-01-14,12,0.08324940005938213,2,1,9
2022-01-15,1,0.0,0,0,1
2022-01-17,14,0.07475259048598153,5,4,5
2022-01-18,17,-0.0034229299601386642,4,4,9
2022-01-19,30,0.20079728563626606,11,5,14
2022-01-20,22,0.07368314808065243,6,4,12
2022-01-21,24,-0.33246901879707974,4,12,8
2022-01-22,4,-0.4309689700603485,0,2,2
2022-01-23,6,-0.16234913468360904,1,2,3
2022-01-24,12,-0.18425842622915903,4,6,2
2022-01-25,20,0.1482377052307129,7,4,9
2022-01-26,22,0.27474490620873193,9,3,10
2022-01-27,17,-0.05625779488507438,4,5,8
2022-01-28,20,0.009067797660827626,7,7,6
2022-01-29,4,-0.4954168349504471,0,2,2
2022-01-30,6,0.5479778895775477,4,0,2
2022-01-31,18,-0.03394893142912124,4,5,9
2022-02-01,23,0.08786549775496773,5,3,15
2022-02-02,25,-0.16088398694992065,4,8,13
2022-02-03,14,-0.1420807157244001,4,6,4
2022-02-04,17,0.3027527682921466,7,2,8
2022-02-05,8,0.0,0,0,8
2022-02-06,7,0.5768738729613168,5,1,1
2022-02-07,20,0.13383042812347412,8,5,7
2022-02-08,24,0.4381841296950976,13,2,9
2022-02-09,23,0.08158639202947203,6,4,13
2022-02-10,26,0.012166344202481786,7,6,13
2022-02-11,24,-0.01013698180516561,5,5,14
2022-02-12,11,-0.09041359207846898,1,2,8
2022-02-13,10,0.4679717838764191,6,1,3
2022-02-14,18,0.18941697478294373,7,3,8
2022-02-15,28,0.10511248026575361,7,4,17
2022-02-16,26,-0.06880215956614569,5,7,14
2022-02-17,23,0.0008752605189448058,7,7,9
2022-02-18,26,-0.11785891652107239,4,7,15
2022-02-19,3,0.0,0,0,3
2022-02-20,4,0.4355502128601074,3,1,0
2022-02-21,20,0.19807644486427306,7,3,10
2022-02-22,23,0.09398004023925113,8,6,9
2022-02-23,18,0.2785740594069163,8,3,7
2022-02-24,31,-0.2358882850216281,5,13,13
2022-02-25,23,0.2970301975374636,11,4,8
2022-02-26,5,0.19989227056503295,1,0,4
2022-02-27,6,0.3007848958174388,3,1,2
2022-02-28,31,0.35415412149121683,14,3,14
2022-03-01,22,0.46171464161439374,13,3,6
2022-03-02,22,0.01958496462215078,6,6,10
2022-03-03,24,0.04886199533939364,5,4,15
2022-03-04,23,-0.03688831173855326,7,8,8
2022-03-05,6,-0.1647378106911977,1,2,3
2022-03-06,5,0.19984819889068603,1,0,4
2022-03-07,21,-0.17268193051928565,6,10,5
2022-03-08,22,0.26316942139105365,10,4,8
2022-03-09,22,0.2407607463273135,7,2,13
2022-03-10,21,0.2778341543106806,8,2,11
2022-03-11,21,0.2368557027408055,7,2,12
2022-03-12,7,0.23691063267844065,2,0,5
2022-03-13,3,0.0,0,0,3
2022-03-14,23,0.07673682855523152,8,6,9
2022-03-15,21,0.40726090045202346,10,1,10
2022-03-16,17,0.08143725465325746,4,3,10
2022-03-17,13,0.03161770563859206,3,3,7
2022-03-18,17,0.06750968624563779,6,5,6
2022-03-19,4,0.24978843331336975,1,0,3
2022-03-20,4,0.4755556136369705,2,0,2
2022-03-21,21,0.09604930877685547,6,4,11
2022-03-22,20,0.43017497658729553,10,1,9
2022-03-23,19,0.2101639195492393,7,3,9
2022-03-24,26,0.2644248627699338,9,2,15
2022-03-25,22,0.2732024138624018,8,2,12
2022-03-26,6,0.04611294468243917,2,2,2
2022-03-27,5,0.3998435020446777,2,0,3
2022-03-28,18,0.27761688497331405,6,1,11
2022-03-29,25,0.08952716112136841,6,3,16
2022-03-30,16,0.4682663194835186,10,2,4
2022-03-31,18,0.32973529895146686,7,1,10
2022-04-01,22,-0.059321422468532205,6,8,8
2022-04-02,8,0.1191224306821823,3,2,3
2022-04-03,6,0.33379659056663513,3,1,2
2022-04-04,17,0.027634256026324105,4,4,9
2022-04-05,23,0.21517431476841803,6,1,16
2022-04-06,22,0.013697767799550821,7,7,8
2022-04-07,34,0.238933487850077,14,6,14
