Date,Open,High,Low,Close,Volume,Daily_Return,Volatility_7d,Volatility_30d,Tweet_Count,Tweet_Avg_Sentiment,Tweet_Positive_Count,Tweet_Negative_Count,Tweet_Neutral_Count,Close_Lag1,Daily_Return_Lag1,Close_Lag2,Daily_Return_Lag2,Close_Lag3,Daily_Return_Lag3,Close_Lag7,Daily_Return_Lag7,MA7,MA30,Return_Std7,Price_Range,Price_Range_Pct,Tweet_Avg_Sentiment_Lag1,Tweet_Avg_Sentiment_Lag2,Tweet_Avg_Sentiment_Lag3,Tweet_Avg_Sentiment_Lag7,Tweet_Count_Lag1,Tweet_Count_Lag2,Tweet_Count_Lag3,Tweet_Count_Lag7,Tweet_Positive_Count_Lag1,Tweet_Positive_Count_Lag2,Tweet_Positive_Count_Lag3,Tweet_Positive_Count_Lag7,Tweet_Negative_Count_Lag1,Tweet_Negative_Count_Lag2,Tweet_Negative_Count_Lag3,Tweet_Negative_Count_Lag7,Tweet_Neutral_Count_Lag1,Tweet_Neutral_Count_Lag2,Tweet_Neutral_Count_Lag3,Tweet_Neutral_Count_Lag7
2021-12-18,46219.25,47313.83,45598.44,46848.78,26098292690,1.399588850213429,3.781063050488378,3.460269179460812,2,0.0,0,0,2,46202.14,-3.06991880698444,47665.43,-2.5181443663296887,48896.72,4.900152598126306,47243.3,-0.8995194675630147,47475.09857142857,56621.40633333333,4.21271034348804,1715.3899999999994,0.036615467894788284,-0.2483747005462646,0.7479280233383179,0.4995785355567932,0.7462381571531296,4.0,4.0,4.0,4.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0
2021-12-20,46707.06,47401.72,45579.81,46880.28,30961902129,0.3709506622344927,2.6457115920579453,3.370863937837421,1,0.0,0,0,1,46848.78,1.399588850213429,46202.14,-3.06991880698444,47665.43,-2.5181443663296887,49362.51,4.485736601803847,47120.49428571429,56146.55966666667,3.696574245410107,1821.9100000000035,0.038863035800980786,0.0,-0.2483747005462646,0.7479280233383179,0.0,2.0,4.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0
2021-12-21,46886.08,49300.92,46698.77,48936.61,27055803928,4.386343255629033,3.0927845682887187,3.493345132566643,1,0.0,0,0,1,46880.28,0.3709506622344927,46848.78,1.399588850213429,46202.14,-3.06991880698444,46737.48,-6.708525671708864,47434.65571428571,55726.86400000001,3.090824406912567,2602.1500000000015,0.05317389169376468,0.0,0.0,-0.2483747005462646,-0.2484401315450668,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0
2021-12-22,48937.1,49544.8,48450.94,48628.51,24447979559,-0.6295899940760075,2.5023654161476063,3.426358925742212,1,0.0,0,0,1,48936.61,4.386343255629033,46880.28,0.3709506622344927,46848.78,1.399588850213429,46612.63,-0.2671303630405575,47722.63857142858,55095.58666666667,3.1135224442989538,1093.8600000000006,0.022494211728880865,0.0,0.0,0.0,0.0657815039157867,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
2021-12-23,48626.34,51332.34,48065.84,50784.54,28223878108,4.433674813396493,2.729626572163588,3.5068552591482294,2,-0.4961441159248352,0,1,1,48628.51,-0.6295899940760075,48936.61,4.386343255629033,46880.28,0.3709506622344927,48896.72,4.900152598126306,47992.32714285714,54556.01033333333,3.011755102855022,3266.5,0.0643207558835819,0.0,0.0,0.0,0.4995785355567932,1.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
2021-12-24,50806.05,51814.03,50514.5,50822.2,24367912228,0.0741564263454952,2.1585347197596203,3.4894394508384288,6,0.6662902235984802,4,0,2,50784.54,4.433674813396493,48628.51,-0.6295899940760075,48936.61,4.386343255629033,47665.43,-2.5181443663296887,48443.294285714284,54083.576,2.7046143810416345,1299.5299999999988,0.025570124866692093,-0.4961441159248352,0.0,0.0,0.7479280233383179,2.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2021-12-25,50854.92,51176.6,50236.71,50429.86,19030650914,-0.7719854709162477,2.307871222494121,3.46882714402082,1,0.0,0,0,1,50822.2,0.0741564263454952,50784.54,4.433674813396493,48628.51,-0.6295899940760075,46202.14,-3.06991880698444,49047.25428571428,53599.57266666667,2.226125742048283,939.8899999999994,0.01863756909101075,0.6662902235984802,-0.4961441159248352,0.0,-0.2483747005462646,6.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0
2021-12-27,50802.61,51956.33,50499.47,50640.42,24324345758,-0.3328116463213959,2.2959606138330204,3.2430844777500947,4,0.2498825192451477,1,0,3,50429.86,-0.7719854709162477,50822.2,0.0741564263454952,50784.54,4.433674813396493,46848.78,1.399588850213429,49588.91714285715,53149.05533333334,2.310915233310491,1456.8600000000006,0.02876871874285404,0.0,0.6662902235984802,-0.4961441159248352,0.0,1.0,6.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0
2021-12-28,50679.86,50679.86,47414.21,47588.86,33430376883,-6.025937383615688,3.0754993385920653,3.2880420280536544,4,-0.7484204471111298,0,3,1,50640.42,-0.3328116463213959,50429.86,-0.7719854709162477,50822.2,0.0741564263454952,46880.28,0.3709506622344927,49690.142857142855,52553.12266666666,3.5621704373993293,3265.6500000000015,0.06862215232724636,0.2498825192451477,0.0,0.6662902235984802,0.0,4.0,1.0,6.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0
2021-12-29,47623.87,48119.74,46201.5,46444.71,30049226299,-2.404239143362541,3.17329537332313,3.2914926585433206,3,-0.3325933814048766,0,1,2,47588.86,-6.025937383615688,50640.42,-0.3328116463213959,50429.86,-0.7719854709162477,48936.61,4.386343255629033,49334.15714285714,51982.684,3.1168128973743836,1918.239999999998,0.04130158203162423,-0.7484204471111298,0.2498825192451477,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
2021-12-30,46490.61,47879.96,46060.31,47178.13,26686491018,1.579124942323884,2.53656151074532,3.313805907315216,4,0.0004419088363646,1,1,2,46444.71,-2.404239143362541,47588.86,-6.025937383615688,50640.42,-0.3328116463213959,48628.51,-0.6295899940760075,49126.96,51549.91333333334,3.2469784926523273,1819.6500000000015,0.03856977798823314,-0.3325933814048766,-0.7484204471111298,0.2498825192451477,0.0,3.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0
2021-12-31,47169.37,48472.53,45819.95,46306.45,36974172400,-1.8476357583481984,2.5023715915399696,3.316484624600846,4,-0.1863428205251693,1,2,1,47178.13,1.579124942323884,46444.71,-2.404239143362541,47588.86,-6.025937383615688,50784.54,4.433674813396493,48487.23285714286,51081.19466666667,2.4217443102303564,2652.5800000000017,0.057283164656327615,0.0004419088363646,-0.3325933814048766,-0.7484204471111298,-0.4961441159248352,4.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0
2022-01-01,46311.75,47827.31,46288.48,47686.81,24582667004,2.980923823786963,2.9875774445444003,3.3789208977201506,1,0.0,0,0,1,46306.45,-1.8476357583481984,47178.13,1.579124942323884,46444.71,-2.404239143362541,50822.2,0.0741564263454952,48039.32,50772.683666666664,2.9138374926097397,1538.8299999999945,0.032269510164340924,-0.1863428205251693,0.0004419088363646,-0.3325933814048766,0.6662902235984802,4.0,4.0,3.0,6.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0
2022-01-03,47343.54,47510.73,45835.96,46458.12,33071628362,-1.8736843972844583,2.9168915290919,2.9292228516763616,5,-7.224082946799548e-06,1,1,3,47686.81,2.980923823786963,46306.45,-1.8476357583481984,47178.13,1.579124942323884,50429.86,-0.7719854709162477,47471.92857142857,50383.96833333334,2.930770339138749,1674.770000000004,0.03604902652109048,0.0,-0.1863428205251693,0.0004419088363646,0.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0
2022-01-04,46458.85,47406.55,45752.46,45897.57,42494677905,-1.2065705629069834,2.01307665891828,2.933911159140557,4,0.0005545914173126,1,1,2,46458.12,-1.8736843972844583,47686.81,2.980923823786963,46306.45,-1.8476357583481984,50640.42,-0.3328116463213959,46794.37857142857,49923.98066666666,2.909588106044002,1654.0900000000038,0.0360387271047248,-7.224082946799548e-06,0.0,-0.1863428205251693,0.2498825192451477,5.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0
2022-01-05,45899.36,46929.05,42798.22,43569.0,36851084859,-5.073405846976209,2.601148696006849,3.0195130019752505,4,0.7490683943033218,3,0,1,45897.57,-1.2065705629069834,46458.12,-1.8736843972844583,47686.81,2.980923823786963,47588.86,-6.025937383615688,46220.112857142856,49499.971,2.661031246214935,4130.830000000002,0.0948112189859763,0.0005545914173126,-7.224082946799548e-06,0.0,-0.7484204471111298,4.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0
2022-01-06,43565.51,43748.72,42645.54,43160.93,30208048289,-0.9366063026463812,2.3681700171107334,3.017922368777787,9,-0.067503273487091,2,3,4,43569.0,-5.073405846976209,45897.57,-1.2065705629069834,46458.12,-1.8736843972844583,46444.71,-2.404239143362541,45751.00142857143,49019.69966666667,2.6001756684968016,1103.1800000000003,0.025559690210567757,0.7490683943033218,0.0005545914173126,-7.224082946799548e-06,-0.3325933814048766,4.0,4.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0
2022-01-07,43153.57,43153.57,41077.45,41557.9,84196607520,-3.7140765965886224,2.5464722465280945,3.0745714542544738,7,-0.1423935975347246,1,2,4,43160.93,-0.9366063026463812,43569.0,-5.073405846976209,45897.57,-1.2065705629069834,47178.13,1.579124942323884,44948.111428571436,48528.94866666666,2.5238243663015947,2076.1200000000026,0.0499572885059159,-0.067503273487091,0.7490683943033218,0.0005545914173126,0.0004419088363646,9.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0
2022-01-08,41561.46,42228.94,40672.28,41733.94,28066355845,0.4236017700605776,1.8958456231716323,2.929666870867459,1,0.0,0,0,1,41557.9,-3.7140765965886224,43160.93,-0.9366063026463812,43569.0,-5.073405846976209,46306.45,-1.8476357583481984,44294.89571428572,48010.924,2.64009234738934,1556.6600000000035,0.037299617529521614,-0.1423935975347246,-0.067503273487091,0.7490683943033218,-0.1863428205251693,7.0,9.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,4.0,4.0,1.0,1.0
2022-01-10,41910.23,42199.48,39796.57,41821.26,32104232331,-0.2155489172448565,2.126317304076096,2.7861523888004758,6,-0.1472739974657694,1,2,3,41733.94,0.4236017700605776,41557.9,-3.7140765965886224,43160.93,-0.9366063026463812,47686.81,2.980923823786963,43456.96000000001,47619.307,1.9551981877605646,2402.9100000000035,0.05745666199440197,0.0,-0.1423935975347246,-0.067503273487091,0.0,1.0,7.0,9.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0,4.0,1.0
2022-01-11,41819.51,43001.16,41407.75,42735.86,26327648900,2.186925979752874,2.5427231713712324,2.806247945123161,5,0.5991920113563538,3,0,2,41821.26,-0.2155489172448565,41733.94,0.4236017700605776,41557.9,-3.7140765965886224,46458.12,-1.8736843972844583,42925.20857142857,47116.95,2.4653308686287354,1593.4100000000035,0.0372850809601118,-0.1472739974657694,0.0,-0.1423935975347246,-7.224082946799548e-06,6.0,1.0,7.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,4.0,3.0
2022-01-12,42742.18,44135.37,42528.99,43949.1,33499938689,2.8389273083541555,2.151567267478077,2.6113115949462307,6,0.4996304909388224,3,0,3,42735.86,2.186925979752874,41821.26,-0.2155489172448565,41733.94,0.4236017700605776,45897.57,-1.2065705629069834,42646.85571428571,46681.738999999994,2.90398714330835,1606.3800000000047,0.0365509191314499,0.5991920113563538,-0.1472739974657694,0.0,0.0005545914173126,5.0,6.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0
2022-01-13,43946.74,44278.42,42447.04,42591.57,47691135082,-3.088868714035098,2.4629927064613417,2.665128770032186,7,0.5718902179173061,5,1,1,43949.1,2.8389273083541555,42735.86,2.186925979752874,41821.26,-0.2155489172448565,43569.0,-5.073405846976209,42507.22285714286,46512.38733333334,2.4625144800330157,1831.3799999999974,0.042998649732799175,0.4996304909388224,0.5991920113563538,-0.1472739974657694,0.7490683943033218,6.0,5.0,6.0,4.0,3.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,1.0
2022-01-14,42598.87,43346.69,41982.62,43099.7,23577403399,1.1930295126476809,1.923105038802644,2.498048912922425,12,0.0832494000593821,2,1,9,42591.57,-3.088868714035098,43949.1,2.8389273083541555,42735.86,2.186925979752874,43160.93,-0.9366063026463812,42498.47571428572,46374.26733333334,2.510200855356537,1364.0699999999997,0.03164917621236342,0.5718902179173061,0.4996304909388224,0.5991920113563538,-0.067503273487091,7.0,6.0,5.0,9.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,2.0,4.0
2022-01-15,43101.9,43724.67,42669.04,43177.4,18371348298,0.1802796771207315,1.9277042214892484,2.467146155002533,1,0.0,0,0,1,43099.7,1.1930295126476809,42591.57,-3.088868714035098,43949.1,2.8389273083541555,41557.9,-3.7140765965886224,42729.83285714285,46168.096999999994,1.9277183710630257,1055.6299999999974,0.024448669906015585,0.0832494000593821,0.5718902179173061,0.4996304909388224,-0.1423935975347246,12.0,7.0,6.0,7.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,2.0,9.0,1.0,3.0,4.0
